code,date,score,vol,factor
002468,2026-04-08,0.5,0.07071067811865474,2.9681267757908607
300084,2026-04-08,0.7,0.0707106781186548,2.9681267757908607
301265,2026-04-08,2.5,0.3535533905932738,2.9681267757908607
601857,2026-04-08,2.5,0.3535533905932738,2.9681267757908607
605016,2026-04-08,4.3,0.6652067347825035,2.6951574759887373
002384,2026-04-08,2.8,0.565685424949238,1.8437428294138574
301563,2026-04-08,2.3,0.4949747468305831,1.6733676477956385
600267,2026-04-08,2.2,0.5656854249492381,1.247429693750089
601069,2026-04-08,3.3,0.9539392014169457,1.005821695354222
002827,2026-04-08,1.4000000000000001,0.5507570547286103,0.49005959040087427
002847,2026-04-08,2.1,1.0606601717798212,0.17406604955530736
000933,2026-04-08,1.9,1.0,0.1291460865603824
000975,2026-04-08,1.8,1.0,0.07292514496858729
300390,2026-04-08,1.8,1.0,0.07292514496858729
300394,2026-04-08,2.0,1.1313708498984762,0.05480342242255338
603799,2026-04-08,1.3,0.7778174593052023,0.0005931373622111225
603966,2026-04-08,1.6,1.0,-0.03951673821500308
002079,2026-04-08,1.5,1.0,-0.09573767980679833
300919,2026-04-08,1.5,1.0,-0.09573767980679833
600255,2026-04-08,1.5,1.0,-0.09573767980679833
