code,date,score,vol,factor
301197,2026-04-08,0.8,1.0,-0.48928427094936466
301280,2026-04-08,0.8,1.0,-0.48928427094936466
600331,2026-04-08,0.8,1.0,-0.48928427094936466
688592,2026-04-08,0.8,1.0,-0.48928427094936466
002318,2026-04-08,0.7,1.0,-0.5455052125411599
002487,2026-04-08,0.5,1.0,-0.6579470957247503
002562,2026-04-08,0.5,1.0,-0.6579470957247503
300242,2026-04-08,0.5,1.0,-0.6579470957247503
688297,2026-04-08,0.5,1.0,-0.6579470957247503
688466,2026-04-08,0.5,1.0,-0.6579470957247503
600257,2026-04-08,0.4,1.0,-0.7141680373165455
002938,2026-04-08,0.1,1.0,-0.8266099205001359
002970,2026-04-08,0.2,1.0,-0.8266099205001359
600583,2026-04-08,0.2,1.0,-0.8266099205001359
603477,2026-04-08,0.1,1.0,-0.8266099205001359
603685,2026-04-08,0.2,1.0,-0.8266099205001359
603915,2026-04-08,0.2,1.0,-0.8266099205001359
688484,2026-04-08,0.2,1.0,-0.8266099205001359
688599,2026-04-08,0.1,1.0,-0.8266099205001359
688726,2026-04-08,0.2,1.0,-0.8266099205001359
