code,date,factor,car_pre,car_post,car_total,leakage
000050,2026-04-08,-0.48928427094936466,0.023702,0.006135,0.029836,0.7944
000905,2026-04-08,-0.2081795629903887,0.021811,-0.049555,-0.027744,-0.7861
000933,2026-04-08,0.1291460865603824,0.074946,-0.012664,0.062283,1.2033
000975,2026-04-08,0.07292514496858729,0.069799,-0.04088,0.028919,2.4136
002048,2026-04-08,-0.43306332935756947,0.06231,0.013723,0.076033,0.8195
002079,2026-04-08,-0.09573767980679833,0.02543,-0.010122,0.015308,1.6613
002083,2026-04-08,-0.15195862139859356,0.009675,0.055988,0.065663,0.1473
002246,2026-04-08,-0.32062144617397903,-0.128744,0.04137,-0.087374,1.4735
002318,2026-04-08,-0.5455052125411599,0.010696,0.002521,0.013217,0.8092
002384,2026-04-08,1.8437428294138574,0.14029,0.188316,0.328606,0.4269
002468,2026-04-08,2.9681267757908607,0.04106,0.003899,0.044959,0.9133
002487,2026-04-08,-0.6579470957247503,-0.023785,0.063369,0.039584,-0.6009
002562,2026-04-08,-0.6579470957247503,-0.006048,-0.029565,-0.035612,0.1698
002609,2026-04-08,-0.43306332935756947,-0.000187,-0.018422,-0.018609,0.01
002681,2026-04-08,-0.3768423877657743,0.017998,-0.013011,0.004987,3.6089
002827,2026-04-08,0.49005959040087427,0.036716,-0.033827,0.002888,12.7112
002938,2026-04-08,-0.8266099205001359,0.081038,0.029601,0.110639,0.7325
002970,2026-04-08,-0.8266099205001359,0.002762,0.011295,0.014057,0.1965
300014,2026-04-08,-0.26440050458218395,-0.06445,0.074359,0.009909,-6.5042
300084,2026-04-08,2.9681267757908607,-0.028246,-0.039829,-0.068075,0.4149
300242,2026-04-08,-0.6579470957247503,0.020168,-0.004098,0.016069,1.255
300390,2026-04-08,0.07292514496858729,-0.091545,0.188951,0.097406,-0.9398
300394,2026-04-08,0.05480342242255338,0.072332,0.063969,0.136301,0.5307
300919,2026-04-08,-0.09573767980679833,0.004855,0.039838,0.044692,0.1086
301265,2026-04-08,2.9681267757908607,0.003091,0.079596,0.082687,0.0374
301280,2026-04-08,-0.48928427094936466,0.001004,0.02353,0.024534,0.0409
301309,2026-04-08,-0.3768423877657743,0.094554,-0.136854,-0.0423,-2.2353
301563,2026-04-08,1.6733676477956385,0.093606,0.002004,0.09561,0.979
600128,2026-04-08,-0.26440050458218395,-0.014283,0.005579,-0.008704,1.6409
600257,2026-04-08,-0.7141680373165455,0.097355,-0.081856,0.015498,6.2816
600267,2026-04-08,1.247429693750089,-0.002824,-0.008687,-0.011511,0.2453
600583,2026-04-08,-0.8266099205001359,0.016965,0.037112,0.054077,0.3137
600619,2026-04-08,-0.15195862139859356,0.02829,0.068384,0.096674,0.2926
600721,2026-04-08,-0.26440050458218395,0.100196,-0.166737,-0.06654,-1.5058
601069,2026-04-08,1.005821695354222,0.065782,0.05221,0.117991,0.5575
601168,2026-04-08,-0.09573767980679833,0.088084,-0.022462,0.065622,1.3423
601857,2026-04-08,2.9681267757908607,-0.035887,0.000926,-0.034961,1.0265
603019,2026-04-08,-0.26440050458218395,0.039616,0.028835,0.06845,0.5787
603239,2026-04-08,-0.09573767980679833,0.092098,0.001586,0.093684,0.9831
603477,2026-04-08,-0.8266099205001359,0.090789,-0.048704,0.042085,2.1573
603501,2026-04-08,-0.26440050458218395,-0.045608,-0.000898,-0.046506,0.9807
603799,2026-04-08,0.0005931373622111225,0.024792,0.00641,0.031202,0.7946
603915,2026-04-08,-0.8266099205001359,0.023322,0.006061,0.029383,0.7937
603950,2026-04-08,-0.3768423877657743,0.100027,0.200045,0.300071,0.3333
603966,2026-04-08,-0.03951673821500308,0.122808,-0.013636,0.109172,1.1249
605016,2026-04-08,2.6951574759887373,0.066,0.050357,0.116357,0.5672
605090,2026-04-08,-0.26440050458218395,-0.032519,0.012462,-0.020057,1.6213
688041,2026-04-08,-0.2081795629903887,0.060894,0.014669,0.075563,0.8059
688297,2026-04-08,-0.6579470957247503,-0.048678,-0.01167,-0.060348,0.8066
688484,2026-04-08,-0.8266099205001359,0.044256,-0.001376,0.04288,1.0321
688592,2026-04-08,-0.48928427094936466,0.032137,-0.023726,0.008411,3.8209
688726,2026-04-08,-0.8266099205001359,0.106226,-0.051516,0.05471,1.9416
