Date,Code,Next_Ret,Predicted
2021-12-31,600221,-0.0269,0.17551057412365872
2021-12-31,523,0.021,0.16972676286951674
2021-12-31,600518,-0.0906,0.16890093610849471
2021-12-31,600734,0.9157099999999991,0.156197815113904
2021-12-31,600063,-0.0147,0.15160742488316126
2021-12-31,300256,-0.208,0.1496231857206368
2021-12-31,600751,0.0403,0.14679810792231388
2021-12-31,600078,0.0962,0.14310767285472414
2021-12-31,709,-0.0325,0.13952013710591268
2021-12-31,600028,0.0213,0.13923959452204313
2021-12-31,2048,-0.2487,0.13911091146641724
2021-12-31,2075,-0.0292,0.13730601565149642
2021-12-31,2563,-0.1203,0.1355659303606002
2021-12-31,708,-0.0259,0.1354486074267634
2021-12-31,2377,0.0602,0.1343897917193683
2021-12-31,600019,-0.0573,0.13387186624199393
2021-12-31,600985,0.4114,0.13375532331068196
2021-12-31,600971,0.2415,0.13353569543637164
2021-12-31,600511,-0.0698,0.13232456435722934
2021-12-31,600398,-0.156,0.13217865228391268
2021-12-31,300071,0.0148,0.1320931642400895
2021-12-31,600704,-0.098,0.13111205644877885
2021-12-31,2640,-0.0383,0.13098534676200116
2021-12-31,2110,0.0529,0.13082950071129978
2021-12-31,600188,0.6294,0.1305175805799056
2021-12-31,600582,0.121,0.1300206756299503
2021-12-31,600282,-0.0243,0.1298225883642791
2021-12-31,603365,-0.0867,0.12979080228815343
2021-12-31,932,0.0763,0.12935904546332952
2021-12-31,600803,-0.0354,0.12848246181348955
