Date,Code,Next_Ret,Predicted
2021-12-31,600221,-0.0269,0.17551057412365872
2021-12-31,523,0.021,0.16972676286951674
2021-12-31,600518,-0.0906,0.16890093610849471
2021-12-31,600734,0.9157099999999991,0.156197815113904
2021-12-31,600063,-0.0147,0.15160742488316126
2021-12-31,300256,-0.208,0.1496231857206368
2021-12-31,600751,0.0403,0.14679810792231388
2021-12-31,600078,0.0962,0.14310767285472414
2021-12-31,709,-0.0325,0.13952013710591268
2021-12-31,600028,0.0213,0.13923959452204313
2021-12-31,2048,-0.2487,0.13911091146641724
2021-12-31,2075,-0.0292,0.13730601565149642
2021-12-31,2563,-0.1203,0.1355659303606002
2021-12-31,708,-0.0259,0.1354486074267634
2021-12-31,2377,0.0602,0.1343897917193683
2021-12-31,600019,-0.0573,0.13387186624199393
2021-12-31,600985,0.4114,0.13375532331068196
2021-12-31,600971,0.2415,0.13353569543637164
2021-12-31,600511,-0.0698,0.13232456435722934
2021-12-31,600398,-0.156,0.13217865228391268
2021-12-31,300071,0.0148,0.1320931642400895
2021-12-31,600704,-0.098,0.13111205644877885
2021-12-31,2640,-0.0383,0.13098534676200116
2021-12-31,2110,0.0529,0.13082950071129978
2021-12-31,600188,0.6294,0.1305175805799056
2021-12-31,600582,0.121,0.1300206756299503
2021-12-31,600282,-0.0243,0.1298225883642791
2021-12-31,603365,-0.0867,0.12979080228815343
2021-12-31,932,0.0763,0.12935904546332952
2021-12-31,600803,-0.0354,0.12848246181348955
2022-03-31,523,0.129,0.17039537204865746
2022-03-31,600518,-0.1495,0.16607222718519288
2022-03-31,600225,0.0346,0.15617806145251847
2022-03-31,300256,0.0232,0.15154351214401726
2022-03-31,300071,0.1898,0.14119490455349218
2022-03-31,1872,0.0302,0.13810832013867777
2022-03-31,600078,0.0897,0.13800718745703477
2022-03-31,601857,-0.0224,0.13758006136193354
2022-03-31,600340,-0.1645,0.1356196659247695
2022-03-31,2128,-0.1453,0.13491198497335444
2022-03-31,601225,0.2875,0.13445715977861483
2022-03-31,600623,-0.0201,0.13323772223671335
2022-03-31,600028,0.0162,0.12991061496532783
2022-03-31,603766,0.0711,0.1294213526152095
2022-03-31,601186,0.0313,0.12870802101079
2022-03-31,600582,0.0102,0.12803287425270832
2022-03-31,2503,-0.0753,0.12796433718408712
2022-03-31,600269,-0.0388,0.12771429864248293
2022-03-31,605368,0.0092,0.12263996110314421
2022-03-31,600017,0.0694,0.12214855882101334
2022-03-31,601088,0.1186,0.12182843620553344
2022-03-31,600511,-0.0631,0.12169216669251406
2022-03-31,601668,0.0239,0.12142512919476889
2022-03-31,600971,0.0474,0.12123760761752048
2022-03-31,2386,0.0515,0.12108547997541283
2022-03-31,600566,0.0573,0.1210345381265199
2022-03-31,2832,0.0669,0.12057503373152137
2022-03-31,600704,-0.0393,0.11990956708004673
2022-03-31,830,-0.0352,0.11984246377894138
2022-03-31,600508,0.777,0.11981825454360567
2022-06-30,300661,-0.226,0.3950363451293736
2022-06-30,301031,0.0857,0.3893090170799712
2022-06-30,300820,0.6513,0.38696974693242564
2022-06-30,301071,-0.0371,0.38429443151747816
2022-06-30,603456,-0.2373,0.37757664437702515
2022-06-30,300487,0.1946,0.375404786862291
2022-06-30,300087,-0.1883,0.37496381637067017
2022-06-30,300722,-0.1879,0.37008108381694227
2022-06-30,605358,-0.3243,0.36975384979166603
2022-06-30,300619,-0.1537,0.36674445087559165
2022-06-30,300260,0.9157099999999991,0.3655265592554923
2022-06-30,300395,0.3307,0.3645679715600266
2022-06-30,300586,-0.0291,0.3637028989431103
2022-06-30,603290,-0.1604,0.3627131084132206
2022-06-30,300803,-0.2657,0.3599395437124037
2022-06-30,300327,-0.3311,0.3592184426155442
2022-06-30,733,-0.1448,0.3574146203757552
2022-06-30,603605,-0.0136,0.35698402542452434
2022-06-30,2812,-0.3048,0.35527635183545686
2022-06-30,2326,-0.3028,0.35493815929482964
2022-06-30,300354,-0.0199,0.3533016602991452
2022-06-30,300363,-0.363785,0.3524496709143295
2022-06-30,300712,-0.2198,0.35229234599071824
2022-06-30,600032,-0.2229,0.3521223863126374
2022-06-30,762,-0.2539,0.3520263083882321
2022-06-30,2192,-0.2677,0.351984916897084
2022-06-30,2594,-0.244,0.3511042288650038
2022-06-30,603392,-0.2634,0.350137474442847
2022-06-30,300613,-0.3521,0.34941527802762984
2022-06-30,603229,-0.3484,0.348747008001091
