综合排名,行业,行业-涨跌幅,资金流排名,涨幅排名,综合得分,净额,行业指数,公司家数,领涨股,领涨股-涨跌幅,当前价
1,医药电商,2.4,2,3,0.9963824289405685,33.09,1099.49,173,华人健康,19.98,20.78
2,仿制药一致性评价,2.42,3,2,0.9958656330749354,25.71,1800.48,143,博瑞医药,20.0,57.66
3,创新药,2.12,1,7,0.993798449612403,41.8,1403.68,272,博瑞医药,20.0,57.66
4,流感,2.15,4,6,0.9901808785529715,21.05,1545.04,183,博瑞医药,20.0,57.66
5,减肥药,2.27,5,5,0.9896640826873386,13.65,1453.09,62,博瑞医药,20.0,57.66
6,科创次新股,3.81,9,1,0.9875968992248062,10.22,665.999,21,健信超导,20.01,56.92
7,幽门螺杆菌概念,1.91,6,9,0.9839793281653747,11.34,1106.3,74,英诺特,14.11,43.1
8,肝炎概念,1.56,7,11,0.9788113695090439,11.06,1230.42,140,英诺特,14.11,43.1
9,辅助生殖,1.48,11,12,0.9731266149870801,8.99,1341.51,74,英诺特,14.11,43.1
10,细胞免疫治疗,1.44,10,15,0.9715762273901808,9.14,1271.7,63,博瑞医药,20.0,57.66
11,重组蛋白,2.36,19,4,0.9689922480620154,7.09,833.9,116,博瑞医药,20.0,57.66
12,注册制次新股,1.47,13,13,0.9674418604651163,7.82,205.468,79,健信超导,20.01,56.92
12,猴痘概念,1.41,12,16,0.9674418604651163,8.49,947.379,74,英诺特,14.11,43.1
14,阿尔茨海默概念,1.93,21,8,0.9617571059431524,4.33,1346.2,82,英诺特,14.11,43.1
15,新股与次新股,1.14,13,22,0.958139534883721,7.82,16365.2,121,健信超导,20.01,56.92
16,生物疫苗,1.15,15,21,0.9576227390180878,7.7,1847.53,60,双鹭药业,9.95,8.07
17,毛发医疗,1.66,23,10,0.9565891472868218,3.61,1155.72,26,康恩贝,10.09,4.8
18,高股息精选,0.68,7,33,0.9560723514211886,11.06,1547.52,147,行动教育,10.0,60.15
19,禽流感,1.45,22,14,0.9540051679586563,3.97,2377.04,26,联环药业,6.6,23.75
20,民营医院,0.81,20,29,0.9416020671834626,4.57,1617.28,73,北大医药,10.08,6.77
