code,date,score,vol,factor
300852,2026-04-09,1.0,1.0,-0.6692016408594819
300902,2026-04-09,1.0,1.0,-0.6692016408594819
301106,2026-04-09,1.0,1.0,-0.6692016408594819
600495,2026-04-09,1.0,1.0,-0.6692016408594819
600508,2026-04-09,1.0,1.0,-0.6692016408594819
600547,2026-04-09,1.0,1.0,-0.6692016408594819
600833,2026-04-09,1.0,1.0,-0.6692016408594819
601600,2026-04-09,1.0,1.0,-0.6692016408594819
601818,2026-04-09,1.0,1.0,-0.6692016408594819
601838,2026-04-09,1.0,1.0,-0.6692016408594819
601898,2026-04-09,1.0,1.0,-0.6692016408594819
603160,2026-04-09,1.0,1.0,-0.6692016408594819
603182,2026-04-09,0.8,1.0,-0.6692016408594819
603380,2026-04-09,1.0,1.0,-0.6692016408594819
605136,2026-04-09,1.0,1.0,-0.6692016408594819
688350,2026-04-09,1.0,1.0,-0.6692016408594819
