code,date,score,vol,factor
300233,2026-04-09,2.0,1.0,2.485606094620932
300458,2026-04-09,2.0,1.0,2.485606094620932
603869,2026-04-09,3.0,0.7071067811865476,2.485606094620932
300476,2026-04-09,1.5,1.0,0.9082022268807252
601098,2026-04-09,1.5,1.0,0.9082022268807252
601677,2026-04-09,1.5,1.0,0.9082022268807252
603806,2026-04-09,1.5,1.0,0.9082022268807252
605189,2026-04-09,1.5,1.0,0.9082022268807252
688332,2026-04-09,1.5,1.0,0.9082022268807252
300539,2026-04-09,1.2,1.0,-0.03824009376339921
301078,2026-04-09,1.2,1.0,-0.03824009376339921
603112,2026-04-09,1.2,1.0,-0.03824009376339921
688557,2026-04-09,1.2,1.0,-0.03824009376339921
688663,2026-04-09,1.2,1.0,-0.03824009376339921
300083,2026-04-09,1.0,1.0,-0.6692016408594819
300236,2026-04-09,1.0,1.0,-0.6692016408594819
