date,open,high,low,close,volume
2025-07-03 00:00:00+08:00,5.421753868811762,5.450593187507516,5.383301749474371,5.402527809143066,232805790
2025-07-04 00:00:00+08:00,5.392915065782699,5.498658165890973,5.392915065782699,5.479432106018066,296586243
2025-07-07 00:00:00+08:00,5.479432373772036,5.517884495396823,5.4505935117461695,5.50827169418335,187733270
2025-07-08 00:00:00+08:00,5.498658421154595,5.527497741495472,5.469819559199164,5.4890456199646,180105836
2025-07-09 00:00:00+08:00,5.498658240938859,5.594789000000848,5.479432180803547,5.556336879730225,349282652
2025-07-10 00:00:00+08:00,5.56594970862685,5.6524672088640395,5.556336907703515,5.594789028167725,280153969
2025-07-11 00:00:00+08:00,5.604401970772889,5.67169341247913,5.46981954574585,5.46981954574585,504311475
2025-07-14 00:00:00+08:00,5.479432387061815,5.614015271460432,5.479432387061815,5.5274977684021,346442959
2025-07-15 00:00:00+08:00,5.5467235447659515,5.565949604638859,5.479432106018066,5.479432106018066,210816761
2025-07-16 00:00:00+08:00,5.479432360389159,5.508271680730036,5.440980238858287,5.4890456199646,221504972
2025-07-17 00:00:00+08:00,5.489045592868154,5.5082716535386815,5.440980211999114,5.4505934715271,176157307
2025-07-18 00:00:00+08:00,5.450593485027701,5.49865840763035,5.421754164757756,5.46981954574585,182781300
2025-07-21 00:00:00+08:00,5.4698195185534875,5.489045579176057,5.412141336685781,5.43136739730835,245163731
2025-07-22 00:00:00+08:00,5.4217538393987486,5.431367098373655,5.335236800551684,5.364075660705566,391331218
2025-07-23 00:00:00+08:00,5.344849881886934,5.460206245332555,5.344849881886934,5.4121413230896,382041039
2025-07-24 00:00:00+08:00,5.421753824533539,5.44097988404522,5.344849586486816,5.344849586486816,346870297
2025-07-25 00:00:00+08:00,5.3448498132944335,5.373689132978454,5.306397692639364,5.31601095199585,251028330
2025-07-28 00:00:00+08:00,5.325623752966899,5.354463072650919,5.306397692639364,5.31601095199585,212506390
2025-07-29 00:00:00+08:00,5.3352369655839365,5.354463025743041,5.277558326721191,5.277558326721191,245627577
2025-07-30 00:00:00+08:00,5.277558372955345,5.354463072650919,5.25833231262781,5.31601095199585,304303859
2025-07-31 00:00:00+08:00,5.316010965837006,5.354463086592192,5.2391062659411975,5.3352370262146,372210578
2025-08-01 00:00:00+08:00,5.325623766833084,5.354463086592192,5.287171646077899,5.3352370262146,281524660
2025-08-04 00:00:00+08:00,5.325623541576778,5.412141038809261,5.31601074098729,5.364075660705566,328229275
2025-08-05 00:00:00+08:00,5.354463154818074,5.440980198426913,5.335237094195504,5.43136739730835,320884233
2025-08-06 00:00:00+08:00,5.431367156887516,5.460206017352089,5.402527838037521,5.440979957580566,242262223
2025-08-07 00:00:00+08:00,5.440980000467616,5.498658180236816,5.402527880621482,5.498658180236816,303145272
2025-08-08 00:00:00+08:00,5.489045592868154,5.517884454681223,5.4505934715271,5.4505934715271,232362471
2025-08-11 00:00:00+08:00,5.450593187507516,5.460205988149153,5.373688948832733,5.402527809143066,258600591
2025-08-12 00:00:00+08:00,5.402527838037521,5.460206017352089,5.392915037344471,5.440979957580566,246479482
2025-08-13 00:00:00+08:00,5.4409798989631435,5.469819217502443,5.364075660705566,5.364075660705566,346875028
2025-08-14 00:00:00+08:00,5.364075901454276,5.402528022308861,5.344849841026985,5.35446310043335,229218033
2025-08-15 00:00:00+08:00,5.36407579783985,5.36407579783985,5.2102673173925345,5.239106178283691,640922934
