trade_date,股票代码,open,close,high,low,vol,amount,amp,pct_chg,change,turnover_rate
2025-07-03,600519,1356.26,1359.72,1366.53,1352.42,2441267,3310996.72,1.04,,,1.8082775640131203
2025-07-04,600519,1359.82,1366.08,1375.37,1354.35,2876691,3911768.96,1.55,0.47000000000000003,6.36,2.130801667289349
2025-07-07,600519,1366.14,1355.01,1367.31,1354.35,2385467,3258871.81,0.95,-0.8099999999999999,-11.07,1.766945793226913
2025-07-08,600519,1355.02,1360.21,1363.95,1355.01,1867370,2530328.35,0.66,0.38,5.2,1.383184745753406
2025-07-09,600519,1359.14,1362.87,1373.52,1358.35,2774532,3770986.17,1.12,0.2,2.66,2.055131194677375
2025-07-10,600519,1362.96,1370.19,1379.49,1354.72,3872503,5278052.85,1.82,0.54,7.32,2.868412300446244
2025-07-11,600519,1366.98,1370.67,1400.45,1366.98,5724335,7825058.16,2.45,0.04,0.48,4.240087851674989
2025-07-14,600519,1373.55,1367.4,1378.33,1365.48,2778094,3815853.99,0.94,-0.24,-3.27,2.0577696134505015
2025-07-15,600519,1364.89,1355.3,1366.76,1352.73,3540578,4832489.05,1.03,-0.89,-12.1,2.6225512248510494
2025-07-16,600519,1354.35,1355.33,1361.53,1354.29,2128605,2882876.61,0.53,0.0,0.03,1.576684837892024
2025-07-17,600519,1358.16,1360.44,1366.84,1357.11,2310554,3138109.83,0.72,0.38,5.11,1.7114567798773226
2025-07-18,600519,1363.95,1380.27,1381.05,1360.47,4182341,5704486.15,1.51,1.46,19.83,3.0979132537949345
2025-07-21,600519,1380.27,1386.04,1389.69,1378.35,2620331,3616751.37,0.82,0.42,5.76,1.9409125497489885
2025-07-22,600519,1387.0,1407.15,1408.71,1383.81,4211898,5841896.07,1.8,1.52,21.11,3.119806500195076
2025-07-23,600519,1411.01,1417.25,1435.99,1410.96,4504484,6355878.59,1.77,0.72,10.1,3.3365286773859957
2025-07-24,600519,1417.74,1432.62,1439.83,1416.77,3880364,5501328.91,1.63,1.08,15.37,2.87423504328048
2025-07-25,600519,1432.53,1397.56,1432.53,1395.64,4191126,6003902.63,2.57,-2.45,-35.06,3.104420415199179
2025-07-28,600519,1395.64,1381.87,1397.55,1379.6,3858632,5385273.36,1.29,-1.1199999999999999,-15.69,2.8581378740560024
2025-07-29,600519,1382.77,1382.2,1391.6,1378.36,2630408,3637254.77,0.96,0.02,0.33,1.9483767120108633
2025-07-30,600519,1387.0,1392.22,1399.64,1380.27,3186771,4420046.38,1.4,0.73,10.03,2.3604818731206607
2025-07-31,600519,1386.04,1365.55,1387.83,1362.02,5179751,7179331.13,1.86,-1.92,-26.67,3.8367075459073194
2025-08-01,600519,1365.74,1361.06,1369.67,1358.18,2963559,4047456.88,0.84,-0.33,-4.49,2.1951459014229737
2025-08-04,600519,1359.14,1362.99,1363.75,1358.18,1868795,2539960.11,0.41,0.13999999999999999,1.92,1.3842402614052045
2025-08-05,600519,1364.91,1371.38,1373.49,1361.17,2534227,3458982.44,0.9,0.62,8.39,1.8771342201472754
2025-08-06,600519,1372.59,1367.67,1372.59,1363.27,2369928,3252940.93,0.68,-0.27,-3.71,1.755435857989514
2025-08-07,600519,1367.67,1366.2,1371.34,1364.0,2800134,3829666.65,0.54,-0.11,-1.47,2.0740949221983156
2025-08-08,600519,1366.88,1364.88,1370.19,1362.02,1865528,2549944.58,0.6,-0.1,-1.33,1.3818203528898185
2025-08-11,600519,1367.31,1387.96,1394.67,1366.83,4715907,6448095.91,2.04,1.69,23.08,3.4931323866141737
2025-08-12,600519,1391.8,1380.31,1407.24,1379.31,4201923,5848240.96,2.01,-0.5499999999999999,-7.65,3.1124178906324884
