Date,Code,企业倍数(EV除EBITDA),市净率PB(MRQ),市现率PCF(现金净流量TTM),市现率PCF(经营现金流TTM),市盈率PE(TTM),"市盈率PE(TTM,扣除非经常性损益)",市销率PS(TTM),股息率(近12个月),MV,净利润同比增长率,净资产同比增长率,利润总额(同比增长率),基本每股收益(同比增长率),总资产同比增长率,现金净流量同比增长率,经营活动产生的现金流量净额(同比增长率),营业利润(同比增长率),营业总收入(同比增长率),营业收入(同比增长率),Next_Ret
2020/3/31,000001,178.0312647564615,0.9097579172428444,14.39391231536865,-6.206015064,8.809922218322754,8.844112829680268,1.800517207657403,1.002315707357331,2483.957529,14.7998925597636,40.4151623110091,13.3078,5.263157894736847,17.0562974125965,-103.1101578,-66.1759,13.7685,16.7816,16.7816,0.017
2020/3/31,000002,4.562002744996938,1.541541490772145,-18.19892311,6.345375635834491,7.45779275894165,7.566347442785254,0.7879988922765244,4.074471734892787,2862.628565950364,-24.19449158,19.7474712940553,-18.3255,8.823529411764715,12.1604192447678,116.682386149287,88.9421,-18.0492,-1.2409,-1.2409,0.0191
2020/3/31,000004,578.8687944389739,50.71528568447765,-52.21757889,-82.89921105,-182.3216248,-126.599551,23.00840310734306,0.6806406584319531,50.35755589,-25.29706834,1118.29769040253,-71.9394,-63.73626374,815.727416801282,-331.4880881,-1056.7178,-73.7875,-78.2586,-78.2586,-0.022
2020/3/31,000005,12.91689110582898,1.887379171551219,275.6695556640625,43.35100970342502,15.52446556091309,-16.33999482,4.311851411881122,0.9879823168566295,29.00390947,-24.48857538,4.25779100995998,-27.2351,-17.85714286,-5.537447693,-110.9542216,-64.5941,-34.3807,-45.4093,-45.4093,-0.0401
2020/3/31,000006,6.304441207665066,0.9470302439502822,3.682145357131958,4.324183236267605,7.499029159545898,7.368639071765375,1.622587271182564,4.352678571428571,60.47977806080001,21.5514643829036,8.79733547523727,36.3633,15.46894031668695,9.34671247008451,-132.5722764,-48.0219,44.6186,57.7314,57.7314,0.56
2020/3/31,000007,60.36637526266685,15.45055616268608,905.38232421875,-125.957208,-14.23724365,-108.1446576,67.93487063918394,1.272895651749856,28.02764676,-357.1386812,-6.540939441,-342.0925,-356.0311284,25.6526955,-822.14187,-189.9806,-341.0072,-5.1332,-5.1332,0.0791
2020/3/31,000008,13.4040073162115,1.211710791431377,-216.4829407,78.57981988187781,24.95344734191895,25.77200028470028,3.079540460234508,0.3163583141680814,87.31697386440001,-1112.539269,0.32847697648068,-643.0255,-1111.904762,14.4507741121803,56.3530606528283,-109.3601,-676.5242,-61.3524,-61.3524,-0.0605
2020/3/31,000009,9.923761273424818,2.814227534263764,21.491943359375,7.369630026230278,48.01428985595703,50.34470682142901,1.097231014189789,0.2834467120401199,151.6577811,-38.55389526,5.13290975467236,-27.7745,-39.0625,0.756583585835668,-661.1321249,-66.7896,-26.7519,-27.6166,-27.9395,0.4473
2020/3/31,000010,10.18491994613173,6.502114797624562,-940.3872681,-10.90914612,-5.786756992,-5.515189082,2.311215771165446,0.9879823168566295,28.69491496,-159.1289166,3.21932522462597,-156.821,-508.5714286,22.8860753279968,-40.84647397,-188.1923,-244.3639,-64.8007,-64.8007,0.0857
2020/3/31,000011,3.554264208140276,1.573273976091319,-8.314144135,5.269888530780725,6.055944442749023,7.119107086249823,1.250125913303543,3.610108303249097,46.83580801097935,41.9118555810252,-3.480919029,57.2203,59.53721075672296,29.5256116063511,269.447426655829,-1873.4899,59.2768,64.1967,64.1967,0.9687
